ticker,year,month,industry,assets,current_assets,non_current_assets,cash,trade_receivables,inventories,ppe,intangibles,goodwill,liabilities,current_liabilities,non_current_liabilities,debt_short_term,debt_long_term,borrowings,trade_payables,equity,equity_parent,minority_interest,issued_capital,retained_earnings,revenue,cost_of_sales,gross_profit,distribution_costs,administrative_expense,other_income,other_expense,employee_benefits,operating_income,ebit,finance_income,finance_costs,profit_before_tax,income_tax,net_income,net_income_parent,cfo,depreciation_amortization,capex,investing_cf,dividends_paid,proceeds_from_borrowings,repayment_of_borrowings,financing_cf,net_change_cash,deposits_from_customers,loans_to_customers,eps_basic,eps_diluted,shares_outstanding
FORUS.SN,2019,12,non_financial,317727471.0,203118731.0,114608740.0,10757766.0,26381313.0,77410933.0,100677798.0,7778491.0,5426310.0,82637956.0,43911715.0,38726241.0,13961172.0,38726241.0,52687413.0,15751063.0,235089515.0,234158792.0,930723.0,24242787.0,193569192.0,237560015.0,112311911.0,125248104.0,2883104.0,103767169.0,15287159.0,4447118.0,,29741827.0,31070381.0,3608113.0,2713804.0,31070381.0,7666853.0,23403528.0,23388501.0,29955036.0,20697579.0,-16494581.0,3673736.0,10220076.0,29688620.0,-32320790.0,-28554390.0,5498894.0,,,,90.5468,0.0
FORUS.SN,2020,12,non_financial,296380384.0,198931429.0,97448955.0,14754362.0,20972275.0,58469695.0,83042406.0,8044353.0,5832083.0,63488796.0,37774339.0,25714457.0,12920026.0,25436625.0,38356651.0,10382008.0,232891588.0,232220275.0,671313.0,24242787.0,196543828.0,184449186.0,92216598.0,92232588.0,2477999.0,83435789.0,799192.0,212808.0,34232888.0,6269721.0,3689753.0,-58569.0,2107823.0,3689753.0,-848541.0,4538294.0,4719619.0,44825693.0,18420194.0,-3548477.0,-23391646.0,3618566.0,14880797.0,-14296195.0,-17129821.0,3996596.0,,,,17.5584,0.0
FORUS.SN,2021,12,non_financial,272857063.0,180673195.0,92183868.0,21525253.0,33219846.0,34894138.0,78399985.0,6600199.0,4450923.0,79661811.0,64459788.0,15202023.0,12994126.0,14884089.0,27878215.0,17062584.0,193195252.0,192473166.0,722086.0,24242787.0,153796111.0,294690496.0,131606883.0,163083613.0,2818622.0,107893817.0,952663.0,281360.0,40662213.0,49998495.0,53485680.0,1591730.0,1589534.0,53485680.0,14100315.0,39385365.0,39349616.0,98640231.0,19102241.0,-7171001.0,6211948.0,75542091.0,13059099.0,-17411582.0,-99627404.0,6770891.0,,,152.3795,,0.0
FORUS.SN,2022,12,non_financial,287620883.0,191928135.0,95692748.0,26850834.0,34431636.0,88598763.0,86105990.0,2275065.0,1262442.0,90897899.0,59401329.0,31496570.0,17082613.0,31489884.0,48572497.0,21364716.0,196722984.0,196722196.0,788.0,24242787.0,156946425.0,315055264.0,143643087.0,171412177.0,3602452.0,135799063.0,1713045.0,575420.0,49158411.0,37651567.0,35973680.0,-347070.0,2388418.0,35973680.0,4430748.0,31542932.0,31542741.0,-2418842.0,21748669.0,-7272614.0,47178193.0,26868313.0,37799501.0,-27882727.0,-41011842.0,5325581.0,,,122.0376,,0.0
FORUS.SN,2023,12,non_financial,307698985.0,193479933.0,114219052.0,26726187.0,34389923.0,86898623.0,103390075.0,2999950.0,1272851.0,90962989.0,58545233.0,32417756.0,13989049.0,32411347.0,46400396.0,21604724.0,216735996.0,216297706.0,438290.0,24242787.0,171097656.0,326554888.0,148856031.0,177698857.0,3498600.0,141669544.0,1061520.0,182106.0,58296494.0,34811415.0,36577211.0,4327510.0,3996537.0,36577211.0,7734673.0,28842538.0,28860103.0,67815709.0,22391798.0,-10815764.0,-12832319.0,16623442.0,19545958.0,-37531083.0,-58357274.0,-124647.0,,,111.5899,,0.0
FORUS.SN,2024,12,non_financial,359285414.0,212842554.0,146442860.0,22858031.0,39049734.0,91782824.0,133908235.0,4688438.0,2727132.0,122147261.0,67310194.0,54837067.0,2658834.0,436572.0,3095406.0,24368776.0,237138153.0,236524320.0,613833.0,24242787.0,189258956.0,375982660.0,173270690.0,202711970.0,4428930.0,159225113.0,1053019.0,367632.0,64311551.0,39908243.0,40628150.0,3237100.0,4924767.0,40628150.0,10359318.0,30268832.0,30093199.0,68317324.0,26287011.0,-11710919.0,-25964855.0,11537015.0,22389674.0,-30819997.0,-47184740.0,-3868156.0,,,,117.1082,0.0
FORUS.SN,2025,12,non_financial,386918404.0,224020238.0,162898166.0,28090756.0,39464299.0,117598755.0,69782486.0,5925442.0,2732922.0,130778086.0,70853243.0,59924843.0,581930.0,,581930.0,27984403.0,256140318.0,255336940.0,803378.0,24242787.0,205844207.0,403758469.0,187378691.0,216379778.0,5006060.0,173360497.0,1159360.0,260801.0,70644405.0,38706126.0,34140199.0,2969694.0,5577298.0,34140199.0,6498113.0,27642086.0,27452465.0,38792670.0,29197977.0,-16585500.0,3305552.0,12107533.0,30358510.0,-30757272.0,-38129339.0,5232725.0,,,,106.2118,0.0
GASCO.SN,2011,12,non_financial,1223712141000.0,171427964000.0,1052284177000.0,34943615000.0,77147027000.0,29903632000.0,995510339000.0,3315658000.0,17010426000.0,653485285000.0,132268804000.0,521216481000.0,,,,56015298000.0,570226856000.0,378507985000.0,191718871000.0,136133418000.0,98085636000.0,930945395000.0,752077827000.0,178867568000.0,17394821000.0,47947686000.0,1021186000.0,6707178000.0,,63387931000.0,75338043000.0,3770444000.0,26326461000.0,75338043000.0,11950112000.0,63387931000.0,33317667000.0,112510890000.0,,-63974776000.0,-67638624000.0,60463482000.0,257216256000.0,-289600364000.0,-85648068000.0,-40689318000.0,,,198.3194,0.0,
GASCO.SN,2012,12,non_financial,1457042117000.0,215071292000.0,1241970825000.0,58695183000.0,85360086000.0,58016677000.0,1185216279000.0,21578770000.0,18920005000.0,709410534000.0,171143823000.0,538266711000.0,43747475000.0,80754729000.0,124502204000.0,84249984000.0,747631583000.0,491428704000.0,256202879000.0,136133418000.0,137777812000.0,1033893436000.0,794209732000.0,239683704000.0,17919194000.0,53444603000.0,540955000.0,6437483000.0,42907947000.0,171500396000.0,147724858000.0,3606033000.0,27950197000.0,147724858000.0,42280168000.0,105444690000.0,55500061000.0,167297352000.0,40272066000.0,-55108543000.0,-40958819000.0,61144664000.0,197457893000.0,-214626180000.0,-102246350000.0,23751568000.0,,,330.3575,,168000000.0
GASCO.SN,2013,12,non_financial,1599608667000.0,199276367000.0,1400332300000.0,60337653000.0,71748160000.0,46731029000.0,1338588254000.0,20790178000.0,18920005000.0,741658605000.0,179923145000.0,561735460000.0,38388560000.0,92691997000.0,131080557000.0,58928339000.0,857950062000.0,563985727000.0,293964335000.0,136133418000.0,174542140000.0,993022540000.0,716572581000.0,276449959000.0,17485503000.0,50865493000.0,136083000.0,6854105000.0,43755237000.0,193693094000.0,169918795000.0,5092248000.0,28836779000.0,169918795000.0,30202663000.0,139716132000.0,73445191000.0,223664000000.0,48669024000.0,-77065195000.0,-71027850000.0,120347320000.0,213526120000.0,,-150039355000.0,1642470000.0,,,437.1738,0.0,168000000.0
